Car Brand,Car Model,Manufacture Year,Sales Date,Sale Country,Price
Mercedes-Benz,E-Class,2001,2021-06-28,Singapore,29265
Ford,Explorer,1973,2020-08-01,Guinea,12512
Audi,A4,2005,2023-12-28,China,77491
Mercedes-Benz,GLC,1975,2021-04-15,Israel,10920
Honda,Pilot,2013,2022-04-18,Jersey,63805
BMW,7 Series,1993,2020-06-29,Pakistan,746020
Tesla,Cybertruck,2016,2023-05-26,Peru,26880
BMW,7 Series,2017,2021-06-10,Trinidad and Tobago,79494
Volkswagen,Tiguan,1972,2019-04-22,Guernsey,65040
Toyota,Corolla,1972,2020-09-17,Samoa,43558
Toyota,Highlander,2013,2021-03-08,Seychelles,61816
Tesla,Model Y,2019,2019-04-04,Iran,14011
Mercedes-Benz,GLE,2019,2003-06-29,Sierra Leone,11918
Nissan,Rogue,1996,2022-04-12,Oman,51838
Volkswagen,Tiguan,1990,2021-04-10,French Polynesia,79177
Honda,Civic,2020,2020-08-24,Myanmar,64141
Nissan,Pathfinder,1977,2024-01-14,Denmark,26117
Mercedes-Benz,GLE,1972,2020-01-22,Montenegro,44547
Wrong Brand,5 Series,2003,2019-12-30,Sri Lanka,24094
BMW,7 Series,1991,2020-03-26,Luxembourg,27605
BMW,5 Series,2013,2020-06-30,Serbia,21882
Chevrolet,Malibu,1973,2019-03-30,Kyrgyz Republic,54534
Nissan,Pathfinder,2023,2022-11-10,Holy See (Vatican City State),375230
Tesla,Cybertruck,1978,2024-01-30,Norfolk Island,28965
Wrong Brand,Mustang,1976,2022-11-18,Georgia,46593
Tesla,Cybertruck,2009,2021-12-21,Namibia,23157
Chevrolet,Traverse,1994,2023-07-18,Haiti,672670
Nissan,Altima,2019,2023-07-21,Ecuador,15633
Nissan,Rogue,1980,2019-10-28,Oman,14117
Chevrolet,Malibu,2004,2019-06-28,Sao Tome and Principe,26044
Tesla,Model S,2022,2019-08-30,Saint Vincent and the Grenadines,79951
Audi,A4,2003,2022-08-25,Saint Barthelemy,78594
Tesla,Model X,1978,2023-01-27,South Africa,47588
Wrong Brand,Altima,1990,2021-01-09,Kenya,74822
Nissan,Pathfinder,2016,2023-03-31,Estonia,31355
Toyota,RAV4,1995,2019-06-19,Palau,74319
Mercedes-Benz,E-Class,1994,2019-12-03,Nicaragua,30735
Nissan,Rogue,2020,2020-01-19,Niger,44106
Mercedes-Benz,C-Class,2005,2005-10-13,Turkmenistan,53478
Volkswagen,Atlas,1975,2020-06-14,French Guiana,25278
Volkswagen,Passat,2016,2023-01-31,Malta,48821
Volkswagen,Jetta,2009,2021-07-25,Colombia,28880
Honda,Pilot,2017,2019-12-03,Aruba,62246
Volkswagen,Tiguan,2011,2020-05-22,Cambodia,79720
Wrong Brand,Q5,2010,2023-08-07,Burkina Faso,17688
Audi,Q7,2013,1999-08-07,Mauritania,20138
Tesla,Model S,2013,2021-11-07,Maldives,11687
Audi,Q7,1987,2019-04-04,Chad,73228
BMW,X5,2006,2020-04-18,Philippines,18316
Volkswagen,Golf,2023,2019-05-08,Marshall Islands,45714
Nissan,Pathfinder,2006,2023-08-25,Madagascar,17187
Tesla,Model X,2007,2019-09-25,Madagascar,22706
Tesla,Model X,2020,2023-12-23,Vietnam,54095
Toyota,RAV4,1992,2021-07-27,Portugal,15474
Tesla,Model X,1975,2020-03-03,Colombia,55426
Tesla,Model Y,2003,2022-04-14,Afghanistan,55521
Volkswagen,Atlas,2015,2021-12-30,Georgia,69027
Chevrolet,Equinox,1988,2019-05-21,Seychelles,41577
Volkswagen,Atlas,1994,2020-12-29,French Southern Territories,13729
Audi,A6,2007,2021-08-09,Lesotho,44585
Honda,Odyssey,1973,2020-04-04,Palestinian Territory,39836
Mercedes-Benz,GLC,2009,2020-01-26,Uganda,78289
Volkswagen,Tiguan,1971,2022-11-29,Congo,76021
Ford,Focus,1977,2023-01-10,Togo,47295
Honda,Civic,1984,2021-05-11,Lebanon,26469
Chevrolet,Cruze,2017,2019-08-25,Liberia,57074
Audi,A4,2018,2021-06-06,Uganda,57831
Chevrolet,Malibu,2017,2020-12-25,North Macedonia,49304
BMW,X5,1994,2021-06-15,Gambia,30660
Mercedes-Benz,E-Class,1974,2020-03-10,Somalia,531430
Wrong Brand,Jetta,1998,2019-09-20,Bangladesh,32489
Mercedes-Benz,C-Class,1990,2021-03-31,New Zealand,75484
Wrong Brand,C-Class,1981,2020-08-04,Sierra Leone,68576
Toyota,Corolla,1988,2022-10-23,Namibia,31388
Audi,A6,2022,2023-07-06,Kazakhstan,39695
Wrong Brand,Altima,1984,1987-12-21,Argentina,75293
Ford,Explorer,1981,2022-11-14,Palau,42963
BMW,X5,1983,2022-06-11,Cote d'Ivoire,12299
Tesla,Cybertruck,1970,2021-02-27,Nepal,42128
Nissan,Altima,2021,2019-04-14,Bahrain,51381
Toyota,Camry,1983,2020-11-06,Niue,16542
Mercedes-Benz,C-Class,2016,2021-05-19,Costa Rica,33181
Nissan,Titan,1984,2023-12-01,Suriname,67353
Toyota,Highlander,2006,2022-10-29,Saint Kitts and Nevis,44056
Chevrolet,Traverse,1994,2021-09-17,Djibouti,76006
Ford,F-150,1981,2019-07-16,Uzbekistan,55877
Ford,Mustang,2001,2022-07-28,Timor-Leste,23440
Nissan,Altima,1997,1984-07-08,Holy See (Vatican City State),11075
Toyota,RAV4,1998,2023-02-05,Botswana,48883
BMW,3 Series,1981,2023-09-15,Malawi,10456
Honda,Civic,1974,2023-11-01,Lebanon,23422
Toyota,RAV4,1998,2022-05-07,Saint Barthelemy,33732
Nissan,Pathfinder,1971,2021-11-22,Georgia,41548
Volkswagen,Golf,1992,2020-11-15,Guam,12335
Chevrolet,Silverado,1971,2022-11-02,Belize,44276
Wrong Brand,Escape,1990,2022-07-05,Ethiopia,27218
Honda,Odyssey,2014,2022-08-24,New Zealand,42693
Ford,Escape,2001,2022-09-18,Wallis and Futuna,68842
Nissan,Sentra,2021,2019-07-28,Cameroon,36125
Honda,Accord,1984,2019-10-20,Antigua and Barbuda,45847
Wrong Brand,Jetta,1985,2020-06-01,Micronesia,20885
Volkswagen,Golf,2009,2020-10-08,Ethiopia,30834
Ford,Explorer,2015,2020-03-09,Uganda,65070
Honda,CR-V,2021,2023-04-24,Mauritania,11098
Volkswagen,Passat,2009,2021-12-22,Wallis and Futuna,44801
BMW,X3,1980,2020-02-09,Bosnia and Herzegovina,44707
Wrong Brand,Traverse,2019,2021-05-27,Qatar,55592
Toyota,Corolla,2011,2024-01-13,Myanmar,51928
Ford,Explorer,2003,2022-11-02,Malaysia,21457
BMW,7 Series,2020,1990-07-27,Gambia,69448
Volkswagen,Jetta,2010,2021-10-14,American Samoa,68014
Tesla,Model X,1986,2020-09-01,India,41532
Tesla,Model 3,1986,2022-01-15,Egypt,33561
Ford,Explorer,1988,2019-11-30,Luxembourg,39466
Volkswagen,Golf,1992,2022-09-20,Reunion,77244
Mercedes-Benz,GLE,1974,2019-09-10,Belize,52712
Toyota,RAV4,1989,2021-08-15,Syrian Arab Republic,24515
Volkswagen,Atlas,1999,2021-11-05,Chad,49191
